assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,0,588796,None,,0,0,0,0,0.0,610,275,None,,0,3,0.5,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Ismeal,0.0,582,248,0,0,0,0.0,613,272,659,False,0.0,611,270,0,,None,45,467,289,0,0,None,0,,588796.jpg,0.0,616,275,0,152,0,0,Kabia,0.0,619,272,False,None,0,0,a,1,3,0.0,586,262,0,1466,6,736,12,0.0,0.0,Kabia,0
0,0,0,None,None,0,0,499167,None,,0,0,0,0,0.0,474,170,None,,0,2,0.5,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Josh,0.0,430,148,0,0,0,0.0,490,170,662,False,0.0,487,170,0,,None,40,638,191,0,0,None,0,,499167.jpg,0.0,496,169,0,241,0,0,Nichols,0.0,568,196,False,None,0,0,a,1,3,0.0,431,151,0,2022,16,726,15,0.0,0.0,Nichols,0
0,0,0,None,None,0,0,461025,None,,0,0,0,0,0.0,564,47,None,,0,4,0.5,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Nathan,0.0,532,43,0,0,0,0.0,568,47,665,False,0.0,565,47,0,,None,45,403,66,0,0,None,0,,461025.jpg,0.0,572,49,0,241,0,0,Butler-Oyedeji,0.2,374,56,False,None,0,0,a,1,3,0.0,536,47,0,22790,404,5739,203,0.0,0.0,Butler-Oyedeji,0
2,0,62,100,100,1,0.21,215711,3,,0,0,-2,2,118.6,85,63,4,,0,3,1.0,1.5,0,1.29,0.27,1.66,0.35,0.37,4.70,0.99,0.08,Leon,2.0,169,76,6,1.26,0,24.8,163,91,28,False,60.2,249,112,427,,2024-10-04T14:00:05.587137Z,63,58,36,0,0,None,0,,215711.jpg,2.2,205,86,0,107,0,0.0,Bailey,1.1,196,60,False,None,6,1.26,a,2,7,70.0,131,84,18,119684,269,370047,356,0.3,2.9,Bailey,2
1,0,57,0,0,1,0.33,88894,None,,0,0,-3,3,65.8,156,103,None,,0,3,0.0,0.0,0,0.20,0.07,0.95,0.32,0.75,1.84,0.61,0.25,Ross,2.0,164,73,3,1.0,1,24.8,162,90,29,False,88.8,199,82,271,Knock - Expected back 23 Nov,2024-11-01T16:30:07.356966Z,52,167,101,0,0,None,0,,88894.jpg,1.9,238,104,0,241,0,0.0,Barkley,0.4,284,92,False,None,1,0.33,i,2,7,94.0,94,61,15,15632,2,65305,492,0.4,2.9,Barkley,3
0,0,0,0,0,0,0,491287,None,,0,0,-1,1,0.0,629,285,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Enzo,0.0,616,270,0,0,0,0.0,635,285,30,False,0.0,634,284,0,Loaned to Valencia CF,2024-08-31T06:33:47.934620Z,49,287,189,0,0,None,0,,491287.jpg,0.0,635,285,0,None,0,0,Barrenechea,0.0,589,250,False,None,0,0,u,2,7,0.0,623,282,0,872,0,5000,3,0.0,0.0,Barrenechea,0
0,0,14,None,None,0,0.0,195546,None,,0,0,-2,2,7.0,344,191,3,,0,3,-0.8,-0.3,0,0.01,0.04,0.10,0.44,0.09,0.37,1.66,0.4,Emiliano,0.2,366,183,0,0.0,0,1.3,408,200,31,False,3.4,413,200,20,,None,53,154,91,0,0,None,0,,195546.jpg,1.0,401,199,0,10,0,0.0,Buendía Stati,0.1,453,167,False,None,0,0.0,a,2,7,3.0,349,193,4,4859,19,11763,21,0.0,0.8,Buendia,0
0,0,51,100,100,1,0.25,199796,None,,0,0,-1,1,32.2,248,71,None,,0,2,1.2,1.7,0,0.16,0.04,0.19,0.05,0.03,4.14,1.02,0.01,Matty,2.2,126,41,3,0.74,0,8.4,302,96,32,False,43.0,294,102,366,,2024-08-24T21:30:05.205042Z,44,493,99,0,0,None,0,,199796.jpg,2.4,171,52,0,172,0,0.0,Cash,1.3,184,68,False,None,5,1.23,a,2,7,9.0,300,96,12,65107,256,250046,241,0.5,2.7,Cash,1
0,0,0,0,0,0,0,151589,None,,0,0,0,0,0.0,548,229,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Leander,0.0,515,198,0,0,0,0.0,552,226,33,False,0.0,549,223,0,On loan to Anderlecht for the rest of the season,2024-09-02T10:45:36.198316Z,45,366,229,0,0,None,0,,151589.jpg,0.0,556,230,0,None,0,0,Dendoncker,0.3,317,107,False,None,0,0,u,2,7,0.0,519,215,0,18187,0,82119,117,0.0,0.0,Dendoncker,0
0,0,0,0,0,0,0,243557,None,,0,0,0,0,0.0,667,304,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Moussa,0.0,659,299,0,0,0,0.0,667,304,34,False,0.0,667,304,0,Permanent transfer to Al Ittihad,2024-07-26T08:50:40.300928Z,65,45,26,0,0,None,0,,243557.jpg,0.0,666,304,0,None,0,0,Diaby,0.0,604,262,False,None,0,0,u,2,7,0.0,667,304,0,0,0,3253,2,0.0,0.0,Diaby,0
