first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Igor Thiago,Nascimento Rodrigues,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,59,FWD
Ivan,Toney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.3,73,FWD
Hákon,Valdimarsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.2,40,GK
Yoane,Wissa,4,2,39,404,9,61.5,170.8,207.0,8,160,44.0,0,0,1,5.4,60,FWD
Yehor,Yarmoliuk,0,0,5,126,3,25.4,30.2,8.0,0,24,6.2,0,0,1,3.1,44,MID
Mathias,Jorgensen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Fábio,Freitas Gouveia Carvalho,1,1,20,264,8,40.3,83.0,75.0,1,74,19.6,0,0,0,1.3,48,MID
Sepp,van den Berg,0,0,8,551,15,36.4,118.0,74.0,0,25,22.8,0,0,0,3.1,40,DEF
Ryan,Trevitt,0,0,1,3,0,0.1,2.6,0.0,0,5,0.3,0,0,0,0.1,45,MID
Gustavo,Nunes Fernandes Gomes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Jayden,Meghoma,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Tony,Yogane,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Simon,Adingra,1,1,15,137,1,32.5,58.4,49.0,0,48,14.0,0,0,0,0.4,54,MID
Benicio,Baker-Boaitey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Carlos,Baleba,1,1,27,570,8,96.2,145.4,76.0,2,135,31.8,3,0,1,0.3,50,MID
Valentín,Barco,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.3,40,DEF
Amario,Cozier-Duberry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Mahmoud,Dahoud,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Lewis,Dunk,0,0,22,705,10,61.0,133.2,18.0,0,104,21.2,3,0,2,5.2,45,DEF
Julio,Enciso,0,0,7,84,1,58.9,23.4,31.0,0,31,11.2,0,0,0,0.1,54,MID
Pervis,Estupiñán,0,0,4,432,10,121.3,78.4,35.0,0,33,23.6,0,0,2,0.5,50,DEF
Evan,Ferguson,1,0,12,100,2,2.2,40.4,23.0,2,42,6.5,0,0,0,0.4,55,FWD
Billy,Gilmour,0,0,3,97,1,11.9,11.4,2.0,0,21,2.5,0,0,0,0.0,50,MID
