name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Bart Verbruggen,GK,Brighton,2.8,0,0,14,0,0.0,146,0.00,0.00,0.00,1.60,94,2,0,0.0,0.0,2024-11-02T15:00:00Z,90,12,0,0,0,0,10,6,204650,1,1,2,0.0,3,-9648,6883,16531,45,False,0
Bastien Meupiyou,DEF,Wolves,0.0,0,0,0,0,0.0,637,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,7,0,0,0,0,10,0,16473,0,2,2,0.0,0,-743,42,785,40,True,0
Benicio Baker-Boaitey,MID,Brighton,0.0,0,0,0,0,0.0,114,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,12,0,0,0,0,10,0,283,0,1,2,0.0,0,-11,0,11,45,False,0
Benjamin White,DEF,Arsenal,1.7,0,0,6,0,0.0,24,0.03,0.03,0.00,0.21,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,19,15,0,0,0,0,10,0,441170,0,0,1,0.0,1,-12091,16086,28177,63,False,0
Benoît Badiashile,DEF,Chelsea,0.7,0,0,0,0,0.0,153,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,12003,0,,,0.0,0,-204,287,491,43,False,0
Ben Brereton Díaz,MID,Southampton,-0.5,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,8,0,0,0,0,10,0,22448,0,0,1,0.0,0,-1915,236,2151,51,True,0
Ben Chilwell,DEF,Chelsea,0.5,0,0,0,0,0.0,160,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,55492,0,,,0.0,0,-1291,1211,2502,47,False,0
Ben Davies,DEF,Spurs,0.5,0,0,0,0,0.0,484,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,19372,0,,,0.0,0,-337,380,717,43,True,0
Ben Doak,MID,Liverpool,0.0,0,0,0,0,0.0,318,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,5,0,0,0,0,10,0,2261,0,1,2,0.0,0,-102,0,102,45,True,0
Ben Johnson,DEF,Ipswich,0.4,0,0,10,0,0.0,275,0.01,0.05,0.04,1.95,93,1,0,0.0,0.0,2024-11-02T15:00:00Z,90,11,0,0,0,0,10,0,237210,1,1,1,0.0,2,-22921,382,23303,40,True,0
Ben Mee,DEF,Brentford,0.0,0,0,0,0,0.0,100,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,9,0,0,0,0,10,0,48373,0,,,0.0,0,-2438,809,3247,43,False,0
Ben Nelson,DEF,Leicester,0.0,0,0,0,0,0.0,616,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,10,0,0,0,0,10,0,2444,0,1,1,0.0,0,-89,0,89,40,False,0
Bernardo Veiga de Carvalho e Silva,MID,Man City,4.2,0,0,10,0,0.0,342,0.13,0.27,0.14,1.77,91,2,0,0.0,0.0,2024-11-02T15:00:00Z,90,3,0,0,0,0,10,0,577328,1,1,2,0.0,2,-708,52915,53623,65,False,0
Bernd Leno,GK,Fulham,2.5,0,0,0,0,0.0,248,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,4,0,0,0,0,10,0,266834,0,,,0.0,0,6199,14782,8583,50,True,0
Bilal El Khannouss,MID,Leicester,1.0,0,0,4,0,0.0,635,0.05,0.05,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,10,10,0,0,0,0,10,0,3806,0,1,1,0.0,1,167,398,231,49,False,0
Billy Gilmour,MID,Brighton,0.0,0,0,0,0,0.0,124,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,12,0,0,0,0,10,0,4415,0,1,2,0.0,0,-162,0,162,50,False,0
Bobby Clark,MID,Liverpool,0.0,0,0,0,0,0.0,315,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,5,0,0,0,0,10,0,1871,0,1,2,0.0,0,-93,0,93,45,True,0
Bobby De Cordova-Reid,MID,Leicester,0.5,0,0,0,0,0.0,290,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,10,0,0,0,0,10,0,7380,0,1,1,0.0,0,-304,107,411,52,False,0
Boubacar Kamara,MID,Aston Villa,-0.3,0,0,0,0,0.0,42,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,18,0,0,0,0,10,0,1144,0,,,0.0,0,160,330,170,50,False,0
Boubacar Traoré,MID,Wolves,0.0,0,0,0,0,0.0,534,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,7,0,0,0,0,10,0,2767,0,2,2,0.0,0,-115,22,137,48,True,0
Boubakary Soumaré,MID,Leicester,0.2,0,0,2,0,0.0,285,0.24,0.27,0.03,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,19,10,0,0,0,0,10,0,28060,0,1,1,0.0,1,5622,8109,2487,44,False,0
Brajan Gruda,MID,Brighton,-0.2,0,0,2,0,0.0,595,0.01,0.01,0.00,0.32,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,14,12,0,0,0,0,10,0,2301,0,1,2,0.0,1,5,80,75,54,False,0
Brandon Austin,GK,Spurs,0.5,0,0,0,0,0.0,479,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,56541,0,,,0.0,0,-225,996,1221,40,True,0
Brennan Johnson,MID,Spurs,3.0,0,0,0,0,0.0,491,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,1042042,0,,,0.0,0,-89997,81662,171659,67,True,0
Bruno Borges Fernandes,MID,Man Utd,2.0,0,0,0,0,0.0,366,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,6,0,0,0,0,10,0,736038,0,,,0.0,0,14554,47851,33297,82,True,0
Bruno Guimarães Rodriguez Moura,MID,Newcastle,1.5,0,0,11,1,0.0,394,0.02,0.05,0.03,1.11,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,90,1,0,0,0,0,10,0,184412,1,0,1,0.0,3,-7315,3970,11285,62,True,0
Bryan Gil Salvatierra,MID,Spurs,0.0,0,0,0,0,0.0,483,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,129,0,,,0.0,0,-3,0,3,50,True,0
Bryan Mbeumo,MID,Brentford,6.2,0,0,0,0,0.0,99,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,9,0,0,0,0,10,0,4324739,0,,,0.0,0,620628,667099,46471,78,False,0
Bukayo Saka,MID,Arsenal,7.8,0,0,10,0,0.0,17,0.25,0.44,0.19,0.75,96,1,0,0.0,0.0,2024-11-02T12:30:00Z,90,15,0,0,0,0,10,0,2699785,1,0,1,0.0,2,284123,393216,109093,101,False,0
Caleb Kporha,DEF,Crystal Palace,0.0,0,0,0,0,0.0,666,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,20,0,0,0,0,10,0,1260,0,2,2,0.0,0,90,249,159,40,False,0
Caleb Okoli,DEF,Leicester,2.2,0,0,0,0,0.0,301,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,10,0,0,0,0,10,0,146972,0,1,1,0.0,0,41509,48891,7382,40,False,0
Caleb Wiley,DEF,Chelsea,0.0,0,0,0,0,0.0,575,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,14,0,0,0,0,10,0,2527,0,,,0.0,0,-93,0,93,40,False,0
Callum Hudson-Odoi,MID,Nott'm Forest,3.8,0,0,39,1,0.0,434,0.16,0.50,0.34,0.16,97,0,1,0.0,0.0,2024-11-02T15:00:00Z,88,19,0,0,0,0,10,0,208953,1,0,3,0.0,8,-2798,17277,20075,54,True,0
Callum Wilson,FWD,Newcastle,0.0,0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,0,1,0,0,0,0,10,0,3800,0,0,1,0.0,0,-112,85,197,69,True,0
Calvin Bassey,DEF,Fulham,0.5,0,0,0,0,0.0,241,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,4,0,0,0,0,10,0,44828,0,,,0.0,0,640,2533,1893,45,True,0
Cameron Archer,FWD,Southampton,4.5,0,0,7,1,0.0,27,0.03,0.09,0.06,1.47,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,90,8,0,0,0,0,10,0,273697,1,0,1,0.0,2,25695,46994,21299,50,True,0
Cameron Burgess,DEF,Ipswich,0.8,0,0,9,0,0.0,263,0.00,0.00,0.00,1.95,93,1,0,0.0,0.0,2024-11-02T15:00:00Z,90,11,0,0,0,0,10,0,146037,1,1,1,0.0,2,16143,23588,7445,39,True,0
Cameron Humphreys,MID,Ipswich,0.0,0,0,0,0,0.0,273,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,11,0,0,0,0,10,0,1905,0,1,1,0.0,0,-103,0,103,45,True,0
Cameron Peupion,MID,Brighton,-1.0,0,0,0,0,0.0,140,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,12,0,0,0,0,10,0,5898,0,1,2,0.0,0,-51,292,343,45,False,0
Caoimhin Kelleher,GK,Liverpool,2.5,0,0,12,0,0.0,325,0.00,0.00,0.00,1.00,94,1,0,0.0,0.0,2024-11-02T15:00:00Z,90,5,0,0,0,0,10,4,196780,1,1,2,0.0,3,55517,62698,7181,44,True,0
Carlos Henrique Casimiro,MID,Man Utd,2.7,0,0,0,0,0.0,368,0.00,0.00,0.00,0.00,95,0,0,0.0,0.0,2024-11-03T16:30:00Z,0,6,0,0,0,0,10,0,76275,0,,,0.0,0,27556,30160,2604,48,True,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,19,0,0,0,0,10,0,20156,0,0,3,0.0,0,-493,426,919,43,True,0
Carlos Roberto Forbs Borges,MID,Wolves,0.8,0,0,0,0,0.0,655,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,7,0,0,0,0,10,0,2216,0,2,2,0.0,0,90,334,244,55,True,0
Carlos Vinícius Alves Morais,FWD,Fulham,0.0,0,0,0,0,0.0,258,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,4,0,0,0,0,10,0,34060,0,,,0.0,0,61,1726,1665,50,True,0
Carlos Alcaraz Durán,MID,Southampton,0.0,0,0,0,0,0.0,450,0.00,0.00,0.00,0.00,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,8,0,0,0,0,10,0,2700,0,0,1,0.0,0,-126,0,126,49,True,0
Carlos Baleba,MID,Brighton,1.0,0,0,0,0,0.0,115,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,12,0,0,0,0,10,0,32247,0,1,2,0.0,0,42,4498,4456,50,False,0
